Area_Name,Year,Subgroup,Rape_Cases_Reported,Victims_Above_50_Yrs,Victims_Between_10to14_Yrs,Victims_Between_14to18_Yrs,Victims_Between_18to30_Yrs,Victims_Between_30to50_Yrs,Victims_of_Rape_Total,Victims_Upto_10_Yrs
Andaman & Nicobar Islands,2001,Total Rape Victims,3,0,0,3,0,0,3,0
Andaman & Nicobar Islands,2001,Victims of Incest Rape,1,0,0,1,0,0,1,0
Andaman & Nicobar Islands,2001,Victims of Other Rape,2,0,0,2,0,0,2,0
Andaman & Nicobar Islands,2002,Total Rape Victims,2,0,0,1,1,0,2,0
Andaman & Nicobar Islands,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Victims of Other Rape,2,0,0,1,1,0,2,0
Andaman & Nicobar Islands,2003,Total Rape Victims,2,0,0,1,0,0,2,1
Andaman & Nicobar Islands,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2003,Victims of Other Rape,2,0,0,1,0,0,2,1
Andaman & Nicobar Islands,2004,Total Rape Victims,10,0,1,7,1,1,10,0
Andaman & Nicobar Islands,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2004,Victims of Other Rape,10,0,1,7,1,1,10,0
Andaman & Nicobar Islands,2005,Total Rape Victims,4,0,0,2,2,0,4,0
Andaman & Nicobar Islands,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2005,Victims of Other Rape,4,0,0,2,2,0,4,0
Andaman & Nicobar Islands,2006,Total Rape Victims,6,0,2,1,1,0,6,2
Andaman & Nicobar Islands,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2006,Victims of Other Rape,6,0,2,1,1,0,6,2
Andaman & Nicobar Islands,2007,Total Rape Victims,3,0,0,3,0,0,3,0
Andaman & Nicobar Islands,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2007,Victims of Other Rape,3,0,0,3,0,0,3,0
Andaman & Nicobar Islands,2008,Total Rape Victims,12,0,1,7,3,1,12,0
Andaman & Nicobar Islands,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2008,Victims of Other Rape,12,0,1,7,3,1,12,0
Andaman & Nicobar Islands,2009,Total Rape Victims,18,0,3,7,5,1,18,2
Andaman & Nicobar Islands,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2009,Victims of Other Rape,18,0,3,7,5,1,18,2
Andaman & Nicobar Islands,2010,Total Rape Victims,24,0,1,12,8,1,24,2
Andaman & Nicobar Islands,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Victims of Other Rape,24,0,1,12,8,1,24,2
Andhra Pradesh,2001,Total Rape Victims,871,14,138,254,328,80,871,57
Andhra Pradesh,2001,Victims of Incest Rape,4,0,2,0,2,0,4,0
Andhra Pradesh,2001,Victims of Other Rape,867,14,136,254,326,80,867,57
Andhra Pradesh,2002,Total Rape Victims,1002,8,67,35,709,148,1002,35
Andhra Pradesh,2002,Victims of Incest Rape,5,0,2,0,3,0,5,0
Andhra Pradesh,2002,Victims of Other Rape,997,8,65,35,706,148,997,35
Andhra Pradesh,2003,Total Rape Victims,946,7,135,215,429,127,946,33
Andhra Pradesh,2003,Victims of Incest Rape,15,0,2,1,7,2,15,3
Andhra Pradesh,2003,Victims of Other Rape,931,7,133,214,422,125,931,30
Andhra Pradesh,2004,Total Rape Victims,1016,7,145,163,516,130,1016,55
