Area_Name,Year,Group_Name,Sub_Group_Name,Victims_Above_50_Yrs,Victims_Total,Victims_Upto_10_15_Yrs,Victims_Upto_10_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs
Andaman & Nicobar Islands,2001,Murder - Female Victims,2. Female Victims,NULL,6,NULL,NULL,NULL,4,2
Andhra Pradesh,2001,Murder - Female Victims,2. Female Victims,67,607,15,38,43,269,175
Arunachal Pradesh,2001,Murder - Female Victims,2. Female Victims,2,16,0,0,0,10,4
Assam,2001,Murder - Female Victims,2. Female Victims,11,128,8,4,23,45,37
Bihar,2001,Murder - Female Victims,2. Female Victims,12,366,0,0,40,191,123
Chandigarh,2001,Murder - Female Victims,2. Female Victims,3,5,0,0,0,1,1
Chhattisgarh,2001,Murder - Female Victims,2. Female Victims,63,549,14,38,38,214,182
Delhi,2001,Murder - Female Victims,2. Female Victims,14,152,2,12,9,74,41
Goa,2001,Murder - Female Victims,2. Female Victims,1,13,NULL,NULL,NULL,4,8
Gujarat,2001,Murder - Female Victims,2. Female Victims,26,363,9,57,8,132,131
Haryana,2001,Murder - Female Victims,2. Female Victims,6,143,1,12,15,67,42
Himachal Pradesh,2001,Murder - Female Victims,2. Female Victims,6,39,1,1,1,11,19
Jammu & Kashmir,2001,Murder - Female Victims,2. Female Victims,24,187,13,2,27,68,53
Jharkhand,2001,Murder - Female Victims,2. Female Victims,24,291,0,0,39,126,102
Karnataka,2001,Murder - Female Victims,2. Female Victims,51,577,13,38,24,250,201
Kerala,2001,Murder - Female Victims,2. Female Victims,24,156,5,36,8,25,58
Lakshadweep,2001,Murder - Female Victims,2. Female Victims,0,2,1,1,0,0,0
Madhya Pradesh,2001,Murder - Female Victims,2. Female Victims,31,622,13,41,37,281,219
Maharashtra,2001,Murder - Female Victims,2. Female Victims,78,1068,28,76,41,555,290
Manipur,2001,Murder - Female Victims,2. Female Victims,1,8,NULL,2,NULL,2,3
Meghalaya,2001,Murder - Female Victims,2. Female Victims,0,6,0,0,0,4,2
Mizoram,2001,Murder - Female Victims,2. Female Victims,0,12,0,0,0,9,3
Nagaland,2001,Murder - Female Victims,2. Female Victims,0,2,0,0,2,0,0
Odisha,2001,Murder - Female Victims,2. Female Victims,26,260,0,0,13,140,81
Puducherry,2001,Murder - Female Victims,2. Female Victims,NULL,10,NULL,NULL,1,5,4
Punjab,2001,Murder - Female Victims,2. Female Victims,11,203,1,3,21,90,77
Rajasthan,2001,Murder - Female Victims,2. Female Victims,32,248,4,8,15,108,81
Sikkim,2001,Murder - Female Victims,2. Female Victims,NULL,6,NULL,NULL,NULL,1,5
Tamil Nadu,2001,Murder - Female Victims,2. Female Victims,34,525,8,5,113,174,191
Tripura,2001,Murder - Female Victims,2. Female Victims,2,9,NULL,NULL,2,3,2
Uttar Pradesh,2001,Murder - Female Victims,2. Female Victims,102,1323,65,10,103,626,417
Uttarakhand,2001,Murder - Female Victims,2. Female Victims,4,110,2,2,1,72,29
West Bengal,2001,Murder - Female Victims,2. Female Victims,12,358,0,0,1,213,132
Andaman & Nicobar Islands,2002,Murder - Female Victims,2. Female Victims,0,7,0,0,1,2,4
Andhra Pradesh,2002,Murder - Female Victims,2. Female Victims,81,662,17,5,3,371,185
Arunachal Pradesh,2002,Murder - Female Victims,2. Female Victims,NULL,4,NULL,NULL,NULL,3,1
Assam,2002,Murder - Female Victims,2. Female Victims,4,111,0,0,0,64,43
Bihar,2002,Murder - Female Victims,2. Female Victims,6,397,0,3,2,242,144
Chandigarh,2002,Murder - Female Victims,2. Female Victims,2,9,0,1,0,3,3
Chhattisgarh,2002,Murder - Female Victims,2. Female Victims,26,228,2,5,2,111,82
Dadra & Nagar Haveli,2002,Murder - Female Victims,2. Female Victims,0,1,0,0,0,0,1
Daman & Diu,2002,Murder - Female Victims,2. Female Victims,0,2,0,0,0,2,0
Delhi,2002,Murder - Female Victims,2. Female Victims,14,130,3,6,2,69,36
Goa,2002,Murder - Female Victims,2. Female Victims,4,7,NULL,NULL,NULL,1,2
Gujarat,2002,Murder - Female Victims,2. Female Victims,67,594,25,57,11,252,182
Haryana,2002,Murder - Female Victims,2. Female Victims,6,156,3,2,1,97,47
Himachal Pradesh,2002,Murder - Female Victims,2. Female Victims,1,34,0,2,2,19,10
Jammu & Kashmir,2002,Murder - Female Victims,2. Female Victims,7,163,0,0,0,71,85
Jharkhand,2002,Murder - Female Victims,2. Female Victims,56,306,1,1,1,140,107
Karnataka,2002,Murder - Female Victims,2. Female Victims,25,595,0,7,3,346,214
Kerala,2002,Murder - Female Victims,2. Female Victims,27,155,5,44,2,31,46
Madhya Pradesh,2002,Murder - Female Victims,2. Female Victims,71,537,5,2,7,258,194
Maharashtra,2002,Murder - Female Victims,2. Female Victims,78,966,27,75,18,475,293
Manipur,2002,Murder - Female Victims,2. Female Victims,1,14,0,0,0,7,6
Meghalaya,2002,Murder - Female Victims,2. Female Victims,1,25,0,1,0,3,20
Mizoram,2002,Murder - Female Victims,2. Female Victims,0,9,0,0,0,8,1
Nagaland,2002,Murder - Female Victims,2. Female Victims,0,3,0,0,0,1,2
Odisha,2002,Murder - Female Victims,2. Female Victims,25,346,0,3,0,201,117
Puducherry,2002,Murder - Female Victims,2. Female Victims,1,11,NULL,1,NULL,1,8
Punjab,2002,Murder - Female Victims,2. Female Victims,5,141,2,1,2,74,57
Rajasthan,2002,Murder - Female Victims,2. Female Victims,16,261,1,10,1,131,102
Tamil Nadu,2002,Murder - Female Victims,2. Female Victims,66,518,8,18,2,259,165
Tripura,2002,Murder - Female Victims,2. Female Victims,NULL,12,NULL,NULL,0,10,2
Uttar Pradesh,2002,Murder - Female Victims,2. Female Victims,73,1453,57,7,84,724,508
Uttarakhand,2002,Murder - Female Victims,2. Female Victims,3,67,2,NULL,2,23,37
West Bengal,2002,Murder - Female Victims,2. Female Victims,9,272,0,3,0,188,72
Andaman & Nicobar Islands,2003,Murder - Female Victims,2. Female Victims,1,9,0,1,0,2,5
Andhra Pradesh,2003,Murder - Female Victims,2. Female Victims,74,737,8,8,12,378,257
Arunachal Pradesh,2003,Murder - Female Victims,2. Female Victims,0,0,0,0,0,0,0
Assam,2003,Murder - Female Victims,2. Female Victims,4,103,0,0,0,68,31
Bihar,2003,Murder - Female Victims,2. Female Victims,6,393,0,3,2,235,147
Chandigarh,2003,Murder - Female Victims,2. Female Victims,1,6,1,1,0,3,0
Chhattisgarh,2003,Murder - Female Victims,2. Female Victims,30,216,4,9,1,84,88
Dadra & Nagar Haveli,2003,Murder - Female Victims,2. Female Victims,1,3,NULL,NULL,NULL,1,1
Daman & Diu,2003,Murder - Female Victims,2. Female Victims,0,0,0,0,0,0,0
